,Номер,Дата,Команда_1,Команда_2,Период_1,Период_2,Период_3,Овертайм,Буллиты
0,1,2019-09-01,ЦСКА,Авангард,1:1,0:1,0:1,:,:
1,2,2019-09-02,Автомобилист,Северсталь,0:1,1:1,1:0,1:0,:
2,3,2019-09-02,Металлург Мг,СКА,0:1,1:1,0:1,:,:
3,4,2019-09-02,Трактор,Витязь,1:1,1:1,0:2,:,:
4,5,2019-09-02,Динамо М,Торпедо НН,2:1,1:0,0:1,:,:
5,6,2019-09-02,Динамо Мн,Нефтехимик,0:1,2:1,0:2,:,:
6,7,2019-09-02,Динамо Р,Спартак,1:0,0:1,0:0,1:0,:
7,8,2019-09-03,Куньлунь РС,Салават Юлаев,1:0,2:1,0:2,0:0,1:0
8,9,2019-09-03,Сибирь,Амур,1:1,0:0,1:0,:,:
9,10,2019-09-03,Барыс,Адмирал,0:0,0:2,1:1,:,:
10,11,2019-09-03,ЦСКА,Ак Барс,0:1,1:1,2:0,:,:
11,12,2019-09-03,Йокерит,Авангард,0:1,0:0,1:2,:,:
12,13,2019-09-04,Куньлунь РС,Салават Юлаев,0:1,0:0,0:1,:,:
13,14,2019-09-04,Автомобилист,Витязь,1:1,1:0,1:1,:,:
14,15,2019-09-04,Металлург Мг,Северсталь,0:1,1:0,3:1,:,:
15,16,2019-09-04,Трактор,СКА,0:1,3:2,0:0,0:1,:
16,17,2019-09-04,Локомотив,Спартак,1:0,0:4,1:1,:,:
17,18,2019-09-04,Динамо М,Динамо Мн,0:1,2:0,1:1,:,:
18,19,2019-09-04,ХК Сочи,Нефтехимик,0:0,1:0,2:2,:,:
19,20,2019-09-04,Динамо Р,Торпедо НН,0:0,2:0,1:0,:,:
20,21,2019-09-05,Сибирь,Адмирал,2:1,1:0,2:0,:,:
21,22,2019-09-05,Барыс,Амур,0:1,2:1,1:0,:,:
22,23,2019-09-05,Йокерит,Ак Барс,0:2,1:2,1:1,:,:
23,24,2019-09-06,Автомобилист,СКА,0:0,3:1,2:1,:,:
24,25,2019-09-06,Металлург Мг,Витязь,0:1,0:0,0:1,:,:
25,26,2019-09-06,Локомотив,Торпедо НН,1:0,1:4,1:0,:,:
26,27,2019-09-06,Авангард,Северсталь,1:0,0:3,0:2,:,:
27,28,2019-09-06,Динамо М,Спартак,1:1,0:0,1:1,1:0,:
28,29,2019-09-06,ХК Сочи,Динамо Мн,1:1,2:2,2:1,:,:
29,30,2019-09-06,ЦСКА,Нефтехимик,1:0,1:2,0:0,1:0,:
30,31,2019-09-07,Амур,Трактор,0:0,0:1,1:0,0:1,:
31,32,2019-09-07,Сибирь,Салават Юлаев,0:1,1:2,0:0,:,:
32,33,2019-09-07,ХК Сочи,Ак Барс,0:3,2:2,1:1,:,:
33,34,2019-09-07,Йокерит,Динамо Р,2:0,4:2,1:0,:,:
34,35,2019-09-08,Амур,Трактор,0:0,0:1,1:1,:,:
35,36,2019-09-08,Куньлунь РС,Барыс,0:0,1:0,0:0,:,:
36,37,2019-09-08,Авангард,Торпедо НН,1:1,2:1,1:0,:,:
37,38,2019-09-08,Спартак,Динамо Мн,3:2,1:2,0:1,:,:
38,39,2019-09-09,Куньлунь РС,Барыс,0:0,2:2,0:1,:,:
39,40,2019-09-09,Автомобилист,Металлург Мг,1:1,1:1,0:0,0:0,1:0
40,41,2019-09-09,Нефтехимик,Динамо Р,2:0,2:0,0:0,:,:
41,42,2019-09-09,Северсталь,ЦСКА,0:1,0:1,0:2,:,:
42,43,2019-09-09,Витязь,Динамо М,2:0,1:1,1:0,:,:
43,44,2019-09-10,Адмирал,Трактор,0:0,2:1,0:0,:,:
