,Номер,Дата,Команда_1,Команда_2,Период_1,Период_2,Период_3,Овертайм,Буллиты
44,45,2019-09-10,Локомотив,ХК Сочи,0:0,2:0,0:1,:,:
45,46,2019-09-10,СКА,Сибирь,0:0,3:0,1:2,:,:
46,47,2019-09-10,Спартак,Авангард,0:0,1:2,1:0,0:1,:
47,48,2019-09-11,Адмирал,Трактор,1:0,0:2,0:1,:,:
48,49,2019-09-11,Амур,Барыс,0:0,1:1,0:2,:,:
49,50,2019-09-11,Нефтехимик,Металлург Мг,1:0,0:0,2:0,:,:
50,51,2019-09-11,Северсталь,Йокерит,1:1,0:2,0:1,:,:
51,52,2019-09-11,Торпедо НН,ЦСКА,0:1,1:0,0:0,1:0,:
52,53,2019-09-12,Салават Юлаев,Автомобилист,0:1,0:0,0:1,:,:
53,54,2019-09-12,Локомотив,Динамо М,1:1,2:0,2:1,:,:
54,55,2019-09-12,Витязь,ХК Сочи,1:0,0:0,1:2,0:0,1:0
55,56,2019-09-12,Спартак,Динамо Р,0:0,3:1,2:0,:,:
56,57,2019-09-12,Динамо Мн,Сибирь,1:1,0:1,1:1,:,:
57,58,2019-09-13,Адмирал,Барыс,1:0,0:0,2:0,:,:
58,59,2019-09-13,Ак Барс,Металлург Мг,1:0,0:0,1:1,:,:
59,60,2019-09-13,Торпедо НН,Йокерит,0:2,2:2,3:1,1:0,:
60,61,2019-09-13,СКА,ЦСКА,0:1,0:1,0:1,:,:
61,62,2019-09-14,Куньлунь РС,Трактор,0:1,0:1,1:0,:,:
62,63,2019-09-14,Салават Юлаев,Амур,2:1,0:1,1:0,:,:
63,64,2019-09-14,Нефтехимик,Автомобилист,1:2,2:1,0:2,:,:
64,65,2019-09-14,Северсталь,Динамо М,2:0,0:2,0:0,0:0,1:0
65,66,2019-09-14,Витязь,Сибирь,0:1,1:1,1:0,0:0,1:0
66,67,2019-09-14,Спартак,ХК Сочи,0:0,0:1,0:0,:,:
67,68,2019-09-15,Куньлунь РС,Трактор,0:0,0:1,2:0,:,:
68,69,2019-09-15,Торпедо НН,Авангард,1:0,2:0,0:0,:,:
69,70,2019-09-15,СКА,Йокерит,0:0,2:1,1:1,:,:
70,71,2019-09-15,Динамо Мн,Металлург Мг,0:0,2:2,1:0,:,:
71,72,2019-09-16,Ак Барс,Северсталь,1:1,2:0,1:2,:,:
72,73,2019-09-16,ЦСКА,Локомотив,3:1,0:1,2:0,:,:
73,74,2019-09-16,Динамо Р,Амур,0:0,2:1,1:2,1:0,:
74,75,2019-09-17,Барыс,Спартак,0:0,2:0,1:0,:,:
75,76,2019-09-17,Автомобилист,Авангард,1:1,1:0,0:1,1:0,:
76,77,2019-09-17,Салават Юлаев,Куньлунь РС,0:0,1:2,2:0,:,:
77,78,2019-09-17,Торпедо НН,Нефтехимик,2:0,0:0,1:0,:,:
78,79,2019-09-17,Динамо М,Адмирал,0:1,1:1,3:0,:,:
79,80,2019-09-17,ХК Сочи,СКА,0:1,0:0,0:0,:,:
80,81,2019-09-18,Сибирь,Трактор,1:0,0:1,0:0,0:1,:
81,82,2019-09-18,Витязь,Северсталь,0:0,3:1,1:0,:,:
82,83,2019-09-18,Динамо Мн,Амур,0:0,0:0,0:0,1:0,:
83,84,2019-09-18,Динамо Р,Локомотив,1:1,1:1,0:1,:,:
84,85,2019-09-19,Автомобилист,Куньлунь РС,1:2,3:1,0:1,1:0,:
85,86,2019-09-19,Металлург Мг,Спартак,3:0,1:1,0:2,:,:
86,87,2019-09-19,Салават Юлаев,Авангард,1:2,1:1,0:2,:,:
87,88,2019-09-19,Ак Барс,Нефтехимик,2:0,0:1,2:0,:,:
88,89,2019-09-19,Динамо М,СКА,0:0,0:2,0:0,:,:
89,90,2019-09-19,ХК Сочи,Торпедо НН,1:0,3:1,1:3,:,:
90,91,2019-09-19,ЦСКА,Адмирал,0:0,3:0,1:0,:,:
91,92,2019-09-20,Сибирь,Амур,0:0,1:0,1:1,:,:
92,93,2019-09-20,Барыс,Трактор,0:0,2:0,0:0,:,:
93,94,2019-09-20,Локомотив,Витязь,1:0,1:2,0:1,:,:
94,95,2019-09-21,Автомобилист,Спартак,1:1,1:3,0:0,:,:
95,96,2019-09-21,Металлург Мг,Ак Барс,1:0,0:1,0:1,:,:
96,97,2019-09-21,Салават Юлаев,Нефтехимик,0:0,0:0,2:0,:,:
97,98,2019-09-21,Северсталь,Торпедо НН,1:3,0:1,1:0,:,:
98,99,2019-09-21,Динамо М,Динамо Р,0:0,2:0,2:1,:,:
99,100,2019-09-21,ХК Сочи,Адмирал,1:0,0:1,0:0,0:1,:
100,101,2019-09-21,Динамо Мн,Йокерит,0:0,3:0,2:0,:,:
101,102,2019-09-22,Авангард,Куньлунь РС,1:1,2:0,2:1,:,:
102,103,2019-09-22,СКА,Витязь,0:1,1:1,1:2,:,:
103,104,2019-09-23,Сибирь,Ак Барс,2:1,2:0,0:1,:,:
104,105,2019-09-23,Трактор,Нефтехимик,0:1,1:0,0:1,:,:
105,106,2019-09-23,Локомотив,Йокерит,0:3,1:0,0:1,:,:
106,107,2019-09-23,Северсталь,Динамо Р,1:0,2:0,3:1,:,:
107,108,2019-09-23,СКА,ЦСКА,1:1,1:1,0:0,0:0,0:1
108,109,2019-09-24,Амур,Адмирал,1:0,1:0,1:2,:,:
109,110,2019-09-24,Торпедо НН,Динамо Мн,1:1,2:0,0:2,1:0,:
110,111,2019-09-24,Витязь,Автомобилист,0:0,0:0,0:0,1:0,:
111,112,2019-09-24,Спартак,Салават Юлаев,0:0,2:1,0:3,:,:
112,113,2019-09-25,Металлург Мг,Барыс,0:1,1:0,0:2,:,:
113,114,2019-09-25,Трактор,Ак Барс,0:4,0:2,0:0,:,:
114,115,2019-09-25,Локомотив,Динамо Р,1:0,2:0,1:0,:,:
115,116,2019-09-25,Йокерит,ЦСКА,0:2,1:1,0:2,:,:
116,117,2019-09-26,Амур,Адмирал,1:0,0:2,0:0,:,:
117,118,2019-09-26,Нефтехимик,Куньлунь РС,1:1,0:0,2:2,0:0,0:1
118,119,2019-09-26,Северсталь,Динамо Мн,0:0,2:2,0:0,0:0,1:0
119,120,2019-09-26,СКА,Салават Юлаев,1:0,1:1,2:0,:,:
120,121,2019-09-26,Спартак,Автомобилист,0:0,1:0,0:0,:,:
121,122,2019-09-26,ХК Сочи,Динамо М,1:2,1:2,1:0,:,:
122,123,2019-09-27,Трактор,Барыс,1:1,0:0,0:1,:,:
123,124,2019-09-27,Торпедо НН,ЦСКА,0:0,0:2,0:1,:,:
124,125,2019-09-28,Амур,Сибирь,1:0,2:0,0:0,:,:
125,126,2019-09-28,Ак Барс,Куньлунь РС,1:0,1:0,3:0,:,:
126,127,2019-09-28,Нефтехимик,Динамо Мн,2:1,2:2,0:1,0:0,1:0
127,128,2019-09-28,Северсталь,Салават Юлаев,2:0,1:2,1:1,:,:
128,129,2019-09-28,Авангард,Спартак,0:1,2:0,1:2,0:0,0:1
129,130,2019-09-28,Витязь,Металлург Мг,1:1,0:1,1:0,0:0,1:0
130,131,2019-09-28,СКА,Динамо М,1:0,1:1,2:0,:,:
131,132,2019-09-28,Йокерит,Автомобилист,2:1,1:0,1:1,:,:
132,133,2019-09-29,Трактор,Локомотив,0:0,2:1,0:0,:,:
133,134,2019-09-29,Торпедо НН,ХК Сочи,1:1,3:0,0:0,:,:
134,135,2019-09-30,Адмирал,Сибирь,0:1,0:1,2:0,0:0,1:0
135,136,2019-09-30,Барыс,Куньлунь РС,0:1,2:1,0:3,:,:
136,137,2019-09-30,Ак Барс,Нефтехимик,0:0,2:1,1:1,:,:
137,138,2019-09-30,Авангард,Металлург Мг,1:0,2:0,0:2,:,:
138,139,2019-09-30,Динамо М,Йокерит,0:1,0:0,1:0,0:1,:
139,140,2019-09-30,Динамо Р,СКА,0:1,0:0,0:2,:,:
140,141,2019-10-01,Автомобилист,Локомотив,2:0,0:1,2:0,:,:
141,142,2019-10-01,Салават Юлаев,Торпедо НН,1:1,3:0,1:0,:,:
142,143,2019-10-01,Спартак,ЦСКА,1:2,1:4,1:3,:,:
143,144,2019-10-01,Динамо Мн,ХК Сочи,0:0,1:0,0:1,1:0,:
144,145,2019-10-02,Адмирал,Сибирь,0:1,1:0,0:1,:,:
145,146,2019-10-02,Ак Барс,СКА,0:0,2:0,0:1,:,:
146,147,2019-10-02,Нефтехимик,Йокерит,0:0,0:0,1:2,:,:
147,148,2019-10-02,Динамо М,Северсталь,0:0,0:1,1:0,0:0,0:1
148,149,2019-10-02,Динамо Р,Авангард,0:2,0:3,0:2,:,:
149,150,2019-10-03,Амур,Куньлунь РС,2:1,0:1,1:0,:,:
150,151,2019-10-03,Барыс,Торпедо НН,1:1,1:0,0:0,:,:
151,152,2019-10-03,Металлург Мг,Локомотив,1:0,1:1,3:2,:,:
152,153,2019-10-03,ЦСКА,Витязь,1:0,0:2,0:0,:,:
153,154,2019-10-03,Динамо Мн,Трактор,2:0,2:1,1:2,:,:
154,155,2019-10-04,Салават Юлаев,Северсталь,0:0,1:1,2:0,:,:
155,156,2019-10-04,ХК Сочи,Авангард,0:2,0:1,3:0,1:0,:
156,157,2019-10-05,Адмирал,Куньлунь РС,0:0,1:0,1:1,:,:
157,158,2019-10-05,Сибирь,Нефтехимик,3:1,1:1,0:0,:,:
158,159,2019-10-05,Автомобилист,Динамо М,1:1,0:1,0:2,:,:
159,160,2019-10-05,Металлург Мг,Торпедо НН,1:1,0:1,1:0,0:0,0:1
160,161,2019-10-05,Витязь,Спартак,0:0,0:1,1:0,0:0,0:1
161,162,2019-10-05,СКА,Трактор,1:2,0:0,0:0,:,:
162,163,2019-10-05,ЦСКА,Динамо Р,1:1,4:0,1:0,:,:
163,164,2019-10-06,Барыс,Северсталь,2:0,1:1,2:0,:,:
164,165,2019-10-06,Локомотив,Авангард,1:0,1:0,0:1,:,:
165,166,2019-10-06,ХК Сочи,Амур,0:0,1:1,0:1,:,:
166,167,2019-10-06,Динамо Мн,Ак Барс,0:0,1:2,1:2,:,:
167,168,2019-10-07,Адмирал,Нефтехимик,1:0,1:0,0:0,:,:
168,169,2019-10-07,Сибирь,Динамо М,1:0,0:0,0:0,:,:
169,170,2019-10-07,Автомобилист,Трактор,0:0,0:0,3:0,:,:
170,171,2019-10-07,Салават Юлаев,Металлург Мг,0:1,0:1,0:1,:,:
171,172,2019-10-07,СКА,Спартак,0:2,1:0,1:0,0:1,:
172,173,2019-10-07,Динамо Р,Витязь,1:0,0:0,0:2,:,:
173,174,2019-10-08,Локомотив,Ак Барс,0:1,0:2,0:1,:,:
174,175,2019-10-08,ЦСКА,Амур,0:0,1:0,3:1,:,:
175,176,2019-10-08,Йокерит,ХК Сочи,0:1,0:1,2:0,1:0,:
176,177,2019-10-09,Куньлунь РС,Нефтехимик,2:0,0:0,0:1,:,:
177,178,2019-10-09,Салават Юлаев,Барыс,0:1,1:0,0:1,:,:
178,179,2019-10-09,Трактор,Динамо М,0:0,1:0,2:2,:,:
179,180,2019-10-09,Северсталь,Спартак,1:0,1:0,1:2,:,:
180,181,2019-10-09,Торпедо НН,Витязь,0:1,2:1,2:0,:,:
181,182,2019-10-09,Динамо Р,Динамо Мн,3:1,0:0,0:1,:,:
182,183,2019-10-10,Куньлунь РС,Нефтехимик,1:0,0:0,0:1,1:0,:
183,184,2019-10-10,Металлург Мг,Адмирал,1:2,2:0,0:1,0:1,:
184,185,2019-10-10,Локомотив,ХК Сочи,0:0,0:0,1:0,:,:
185,186,2019-10-10,Авангард,Амур,0:0,1:0,0:0,:,:
186,187,2019-10-10,СКА,Автомобилист,0:0,1:0,0:1,1:0,:
187,188,2019-10-11,Сибирь,Барыс,0:0,0:1,0:1,:,:
188,189,2019-10-11,Ак Барс,ЦСКА,0:1,1:3,1:1,:,:
189,190,2019-10-11,Торпедо НН,Салават Юлаев,0:1,0:0,1:0,0:0,0:1
190,191,2019-10-11,Йокерит,Динамо Мн,1:0,0:2,2:0,:,:
191,192,2019-10-12,Трактор,Адмирал,0:2,1:0,1:0,0:0,0:1
192,193,2019-10-12,Северсталь,Металлург Мг,0:1,1:1,0:0,:,:
193,194,2019-10-12,Авангард,Динамо Р,1:1,3:0,0:0,:,:
194,195,2019-10-12,Динамо М,Автомобилист,0:2,2:0,4:1,:,:
195,196,2019-10-12,Спартак,Амур,0:0,0:1,1:0,0:0,0:1
196,197,2019-10-13,Куньлунь РС,Локомотив,0:1,2:4,1:1,:,:
197,198,2019-10-13,Торпедо НН,СКА,1:2,0:2,0:0,:,:
198,199,2019-10-13,Витязь,Динамо Мн,0:0,1:0,2:0,:,:
199,200,2019-10-13,ХК Сочи,ЦСКА,0:0,0:2,0:0,:,:
200,201,2019-10-13,Йокерит,Салават Юлаев,0:1,2:1,0:0,0:0,1:0
201,202,2019-10-14,Барыс,Адмирал,0:0,0:0,0:0,0:1,:
202,203,2019-10-14,Трактор,Динамо Р,0:1,1:3,2:0,:,:
203,204,2019-10-14,Ак Барс,Автомобилист,0:1,2:0,1:0,:,:
204,205,2019-10-14,Нефтехимик,Сибирь,0:0,1:0,0:1,1:0,:
205,206,2019-10-14,Динамо М,Металлург Мг,1:2,2:0,3:1,:,:
206,207,2019-10-15,Амур,Локомотив,1:0,0:1,1:0,:,:
207,208,2019-10-15,Куньлунь РС,Северсталь,0:0,1:0,0:1,0:1,:
208,209,2019-10-15,Авангард,СКА,1:2,1:0,1:0,:,:
209,210,2019-10-15,Витязь,Салават Юлаев,0:0,1:1,0:1,:,:
210,211,2019-10-16,Барыс,Динамо Р,0:0,1:2,2:1,0:1,:
211,212,2019-10-16,Динамо М,ЦСКА,1:0,0:1,0:1,:,:
212,213,2019-10-16,Спартак,Сибирь,0:0,1:0,0:2,:,:
213,214,2019-10-16,ХК Сочи,Металлург Мг,1:2,1:1,1:0,0:1,:
214,215,2019-10-17,Адмирал,Локомотив,1:0,2:2,0:1,0:0,0:1
215,216,2019-10-17,Амур,Северсталь,0:0,1:0,0:0,:,:
216,217,2019-10-17,Ак Барс,Йокерит,2:0,1:2,0:1,1:0,:
217,218,2019-10-17,Нефтехимик,СКА,0:0,2:0,0:1,:,:
218,219,2019-10-17,Витязь,Трактор,1:0,2:0,0:1,:,:
219,220,2019-10-17,Динамо Мн,Торпедо НН,0:3,0:1,0:2,:,:
220,221,2019-10-18,Автомобилист,Авангард,1:2,0:0,0:1,:,:
221,222,2019-10-18,ХК Сочи,Сибирь,0:2,1:2,0:0,:,:
222,223,2019-10-19,Адмирал,Северсталь,1:1,1:2,3:0,:,:
223,224,2019-10-19,Куньлунь РС,Динамо М,1:1,0:0,0:1,:,:
224,225,2019-10-19,Салават Юлаев,Ак Барс,0:0,2:1,1:0,:,:
225,226,2019-10-19,ЦСКА,Трактор,0:0,1:0,2:0,:,:
226,227,2019-10-19,Йокерит,Торпедо НН,2:1,1:0,0:2,0:1,:
227,228,2019-10-20,Барыс,Витязь,1:1,1:0,0:1,1:0,:
228,229,2019-10-20,Металлург Мг,Авангард,2:0,0:0,1:0,:,:
229,230,2019-10-20,СКА,Спартак,1:2,0:1,1:0,:,:
230,231,2019-10-20,Динамо Р,Нефтехимик,0:1,1:1,0:0,:,:
231,232,2019-10-21,Амур,Динамо М,0:1,0:3,1:1,:,:
232,233,2019-10-21,Куньлунь РС,ХК Сочи,2:1,1:0,0:1,:,:
233,234,2019-10-21,Автомобилист,Ак Барс,0:2,1:1,0:3,:,:
234,235,2019-10-21,Локомотив,Трактор,0:0,1:2,0:0,:,:
235,236,2019-10-21,ЦСКА,Торпедо НН,2:0,1:0,2:2,:,:
236,237,2019-10-22,Сибирь,Витязь,0:0,3:1,1:0,:,:
237,238,2019-10-22,Салават Юлаев,Авангард,0:1,0:0,1:0,0:0,0:1
238,239,2019-10-22,СКА,Нефтехимик,0:1,1:0,1:1,0:0,0:1
239,240,2019-10-22,Йокерит,Спартак,1:0,0:1,1:2,:,:
240,241,2019-10-22,Динамо Мн,Барыс,0:0,1:1,0:0,0:0,0:1
241,242,2019-10-23,Адмирал,Динамо М,0:1,0:2,1:1,:,:
242,243,2019-10-23,Амур,ХК Сочи,1:0,0:0,1:1,:,:
243,244,2019-10-23,Металлург Мг,Ак Барс,0:0,0:0,0:0,0:0,1:0
244,245,2019-10-23,Динамо Р,Трактор,0:0,1:0,1:0,:,:
245,246,2019-10-24,Салават Юлаев,Витязь,1:0,0:0,0:1,1:0,:
246,247,2019-10-24,Локомотив,Барыс,0:0,2:2,0:0,1:0,:
247,248,2019-10-24,Северсталь,Нефтехимик,0:0,1:0,0:1,0:1,:
248,249,2019-10-24,Торпедо НН,Спартак,1:0,0:2,0:1,:,:
249,250,2019-10-24,ЦСКА,Йокерит,0:0,0:1,0:2,:,:
250,251,2019-10-25,Адмирал,ХК Сочи,0:1,1:1,0:1,:,:
251,252,2019-10-25,Автомобилист,Металлург Мг,0:1,0:1,0:1,:,:
252,253,2019-10-25,Авангард,Куньлунь РС,0:0,0:2,0:1,:,:
253,254,2019-10-25,Динамо Мн,Динамо Р,1:1,0:1,0:0,:,:
254,255,2019-10-26,Трактор,Амур,1:1,0:1,0:0,:,:
255,256,2019-10-26,Ак Барс,Барыс,1:1,1:0,1:1,:,:
256,257,2019-10-26,Локомотив,СКА,1:2,1:0,1:1,1:0,:
257,258,2019-10-26,Северсталь,Йокерит,0:0,0:1,1:0,0:1,:
258,259,2019-10-27,Сибирь,Металлург Мг,0:2,0:0,2:0,1:0,:
259,260,2019-10-27,Авангард,ЦСКА,0:1,0:0,1:0,0:0,0:1
260,261,2019-10-27,Витязь,Куньлунь РС,0:2,2:1,0:1,:,:
261,262,2019-10-27,Спартак,Динамо Р,2:0,1:0,0:2,:,:
262,263,2019-10-27,Динамо Мн,Салават Юлаев,1:0,1:1,0:1,0:1,:
263,264,2019-10-28,Ак Барс,Амур,2:0,1:1,0:0,:,:
264,265,2019-10-28,Нефтехимик,Адмирал,0:0,1:3,3:0,:,:
265,266,2019-10-28,Северсталь,СКА,0:0,0:1,1:0,0:0,0:1
266,267,2019-10-29,Сибирь,Автомобилист,1:0,1:0,1:0,:,:
267,268,2019-10-29,Барыс,Металлург Мг,0:1,1:1,0:0,:,:
268,269,2019-10-29,Торпедо НН,Локомотив,0:0,2:0,0:1,:,:
269,270,2019-10-29,Динамо М,Авангард,0:0,1:0,0:0,:,:
270,271,2019-10-29,Спартак,Йокерит,2:2,1:0,1:0,:,:
271,272,2019-10-29,ХК Сочи,Салават Юлаев,0:1,0:0,3:0,:,:
272,273,2019-10-29,Динамо Р,Куньлунь РС,1:2,0:0,0:1,:,:
273,274,2019-10-30,Трактор,Динамо Мн,1:0,2:0,1:1,:,:
274,275,2019-10-30,Ак Барс,Адмирал,0:0,1:0,1:0,:,:
275,276,2019-10-30,Нефтехимик,Амур,0:2,1:1,2:0,0:0,1:0
276,277,2019-10-30,Витязь,СКА,1:1,1:0,0:1,0:0,0:1
277,278,2019-10-31,Сибирь,ЦСКА,1:1,1:0,0:0,:,:
278,279,2019-10-31,Барыс,Автомобилист,0:1,1:1,2:1,0:1,:
279,280,2019-10-31,Торпедо НН,Куньлунь РС,0:1,1:0,0:1,:,:
280,281,2019-10-31,Динамо М,Салават Юлаев,1:0,3:0,0:1,:,:
281,282,2019-10-31,Спартак,Северсталь,0:0,1:1,1:1,0:0,1:0
282,283,2019-10-31,Йокерит,Локомотив,0:1,0:1,1:2,:,:
283,284,2019-11-01,Металлург Мг,Динамо Мн,2:1,0:1,0:0,1:0,:
284,285,2019-11-01,Авангард,Амур,0:1,2:1,1:0,:,:
285,286,2019-11-01,ХК Сочи,Динамо Р,0:1,1:0,2:1,:,:
286,287,2019-11-02,Барыс,ЦСКА,0:0,0:1,0:2,:,:
287,288,2019-11-02,Нефтехимик,Ак Барс,1:0,3:0,0:2,:,:
288,289,2019-11-02,Витязь,Северсталь,1:0,1:0,0:1,:,:
289,290,2019-11-02,СКА,Локомотив,0:0,1:1,0:1,:,:
290,291,2019-11-02,Спартак,Адмирал,1:1,2:1,0:2,:,:
291,292,2019-11-02,Йокерит,Торпедо НН,1:1,1:0,1:0,:,:
292,295,2019-11-02,Трактор,Автомобилист,0:2,1:3,2:0,:,:
293,293,2019-11-03,Металлург Мг,Сибирь,1:0,1:1,2:0,:,:
294,294,2019-11-03,Салават Юлаев,Динамо Мн,4:0,3:1,2:0,:,:
295,296,2019-11-03,Авангард,Динамо М,1:1,1:0,2:2,:,:
296,297,2019-11-03,СКА,Динамо Р,1:0,2:3,0:0,0:0,1:0
297,298,2019-11-03,ХК Сочи,Куньлунь РС,2:0,0:0,0:0,:,:
298,299,2019-11-04,Локомотив,Адмирал,1:1,1:2,0:2,:,:
299,300,2019-11-04,Нефтехимик,ЦСКА,2:0,0:0,2:1,:,:
300,301,2019-11-04,Северсталь,Ак Барс,0:0,0:2,0:0,:,:
301,302,2019-11-04,Витязь,Торпедо НН,0:0,1:0,2:3,0:0,0:1
302,303,2019-11-12,Металлург Мг,Трактор,1:1,2:0,2:1,:,:
303,304,2019-11-12,Ак Барс,Авангард,0:0,1:0,2:0,:,:
304,305,2019-11-12,Локомотив,Сибирь,1:0,0:0,1:0,:,:
305,306,2019-11-12,Северсталь,Барыс,1:0,0:0,0:1,0:1,:
306,307,2019-11-12,Динамо М,Нефтехимик,0:1,0:2,3:3,:,:
307,308,2019-11-12,ЦСКА,Спартак,1:2,0:0,1:0,0:1,:
308,309,2019-11-12,Динамо Мн,Торпедо НН,2:0,2:3,1:2,0:0,1:0
309,310,2019-11-12,Динамо Р,Салават Юлаев,0:0,1:1,0:0,0:1,:
310,311,2019-11-13,Амур,СКА,1:0,0:1,0:2,:,:
311,312,2019-11-13,Куньлунь РС,Йокерит,0:1,1:1,1:1,:,:
312,313,2019-11-13,Автомобилист,ХК Сочи,1:0,0:1,4:0,:,:
313,314,2019-11-13,Динамо Мн,Витязь,2:2,2:1,0:0,:,:
314,315,2019-11-14,Ак Барс,Трактор,2:0,1:1,1:0,:,:
315,316,2019-11-14,Локомотив,Нефтехимик,3:0,3:0,0:3,:,:
316,317,2019-11-14,Северсталь,Авангард,0:2,1:2,0:1,:,:
317,318,2019-11-14,Торпедо НН,Сибирь,1:1,2:1,3:0,:,:
318,319,2019-11-14,Динамо М,Барыс,1:2,1:0,0:0,1:0,:
319,320,2019-11-14,ЦСКА,Салават Юлаев,2:2,0:0,0:3,:,:
320,321,2019-11-14,Динамо Р,Спартак,1:0,0:0,2:1,:,:
321,322,2019-11-15,Адмирал,Йокерит,1:1,1:1,0:0,0:0,1:0
322,323,2019-11-15,Куньлунь РС,СКА,0:0,1:2,1:0,0:1,:
323,324,2019-11-15,Металлург Мг,ХК Сочи,0:0,1:0,0:0,:,:
324,325,2019-11-15,Динамо Р,Витязь,1:0,1:0,2:0,:,:
325,326,2019-11-16,Локомотив,Салават Юлаев,2:0,1:1,2:0,:,:
326,327,2019-11-16,Нефтехимик,Спартак,0:1,0:2,1:1,:,:
327,328,2019-11-16,Динамо М,Сибирь,2:0,0:0,2:2,:,:
328,329,2019-11-16,Динамо Мн,Авангард,0:0,0:0,1:1,0:0,0:1
329,330,2019-11-17,Адмирал,СКА,0:0,1:1,0:0,0:1,:
330,331,2019-11-17,Амур,Йокерит,0:1,1:0,3:0,:,:
331,332,2019-11-17,Куньлунь РС,Металлург Мг,0:0,1:1,2:0,:,:
332,333,2019-11-17,Трактор,Автомобилист,0:1,1:0,1:3,:,:
333,334,2019-11-17,Торпедо НН,Витязь,0:1,5:1,1:0,:,:
334,335,2019-11-17,Динамо Р,ХК Сочи,1:0,0:0,0:2,:,:
335,336,2019-11-18,Нефтехимик,Динамо М,1:2,0:3,3:1,:,:
336,337,2019-11-18,Авангард,Салават Юлаев,1:0,2:1,1:0,:,:
337,338,2019-11-18,ЦСКА,Северсталь,0:0,0:1,1:0,0:1,:
338,339,2019-11-19,Амур,Металлург Мг,1:1,2:1,0:0,:,:
339,340,2019-11-19,Барыс,Автомобилист,0:1,1:0,1:1,1:0,:
340,341,2019-11-19,Трактор,Йокерит,0:2,1:3,1:0,:,:
341,342,2019-11-19,Торпедо НН,Динамо Мн,1:0,0:1,2:1,:,:
