,Номер,Дата,Команда_1,Команда_2,Период_1,Период_2,Период_3,Овертайм,Буллиты
0,1,2018-09-01,Ак Барс,СКА,0:1,1:2,0:3,:,:
1,2,2018-09-02,Автомобилист,Динамо Р,0:0,2:2,2:0,:,:
2,3,2018-09-02,Металлург Мг,Слован,3:0,1:0,1:1,:,:
3,4,2018-09-02,Трактор,ЦСКА,0:1,0:1,0:1,:,:
4,5,2018-09-02,Локомотив,Авангард,0:0,0:3,0:1,:,:
5,6,2018-09-02,Северсталь,Сибирь,1:2,1:0,1:0,:,:
6,7,2018-09-02,Динамо М,Салават Юлаев,0:0,2:0,0:2,0:1,:
7,11,2018-09-02,Спартак,Амур,2:1,2:2,2:0,:,:
8,8,2018-09-03,Ак Барс,Динамо Мн,1:0,1:0,0:0,:,:
9,9,2018-09-03,Нефтехимик,Витязь,0:0,0:0,0:1,:,:
10,10,2018-09-03,Торпедо НН,СКА,0:2,2:1,2:0,:,:
11,12,2018-09-03,ХК Сочи,Адмирал,1:3,1:0,2:1,0:0,0:1
12,13,2018-09-03,Йокерит,Куньлунь РС,1:1,3:0,2:2,:,:
13,14,2018-09-04,Автомобилист,ЦСКА,0:0,0:1,3:0,:,:
14,15,2018-09-04,Металлург Мг,Динамо Р,0:1,0:0,1:1,:,:
15,16,2018-09-04,Трактор,Слован,1:0,1:0,1:0,:,:
16,17,2018-09-04,Локомотив,Сибирь,1:0,3:0,1:0,:,:
17,18,2018-09-04,Северсталь,Салават Юлаев,1:3,2:0,1:1,0:1,:
18,19,2018-09-04,Динамо М,Авангард,0:2,0:1,1:2,:,:
19,20,2018-09-05,Ак Барс,Витязь,2:2,1:1,0:2,:,:
20,21,2018-09-05,Нефтехимик,Барыс,0:0,0:2,1:4,:,:
21,22,2018-09-05,Торпедо НН,Динамо Мн,0:1,2:1,1:0,:,:
22,23,2018-09-05,Спартак,Адмирал,0:0,2:1,1:0,:,:
23,24,2018-09-05,ХК Сочи,Куньлунь РС,0:0,0:0,1:1,1:0,:
24,25,2018-09-05,Йокерит,Амур,0:1,2:0,1:0,:,:
25,26,2018-09-06,Автомобилист,Слован,1:1,1:0,0:1,1:0,:
26,27,2018-09-06,Металлург Мг,ЦСКА,1:0,0:1,0:1,:,:
27,28,2018-09-06,Локомотив,Салават Юлаев,1:2,2:0,1:0,:,:
28,29,2018-09-06,Северсталь,Авангард,1:3,0:1,0:0,:,:
29,30,2018-09-06,Динамо М,Сибирь,1:2,4:1,1:0,:,:
30,31,2018-09-07,Ак Барс,Барыс,0:1,3:0,1:2,:,:
31,32,2018-09-07,Нефтехимик,Динамо Мн,1:0,1:0,0:1,:,:
32,33,2018-09-07,Торпедо НН,Витязь,0:1,2:0,2:0,:,:
33,34,2018-09-07,Спартак,Куньлунь РС,0:0,0:0,1:2,:,:
34,35,2018-09-07,ХК Сочи,Амур,1:0,3:0,0:1,:,:
35,36,2018-09-07,Йокерит,Адмирал,2:1,2:0,0:0,:,:
36,37,2018-09-08,СКА,Салават Юлаев,1:0,0:1,0:3,:,:
37,38,2018-09-08,Динамо М,ЦСКА,0:3,0:0,1:0,:,:
38,39,2018-09-08,Динамо Р,Сибирь,2:0,0:0,1:0,:,:
39,40,2018-09-09,Автомобилист,Адмирал,0:1,0:0,2:0,:,:
40,41,2018-09-09,Металлург Мг,Куньлунь РС,3:0,0:1,0:0,:,:
41,42,2018-09-09,Торпедо НН,Барыс,0:2,2:1,3:2,1:0,:
42,43,2018-09-09,Динамо Р,Северсталь,0:0,1:2,1:0,0:1,:
43,44,2018-09-09,Слован,Локомотив,0:1,1:0,0:3,:,:
44,45,2018-09-10,Авангард,Нефтехимик,0:0,2:2,2:0,:,:
45,46,2018-09-10,Витязь,Спартак,0:1,1:1,1:1,:,:
46,47,2018-09-10,СКА,ХК Сочи,1:0,2:0,0:1,:,:
47,48,2018-09-10,Динамо Мн,Йокерит,0:1,0:1,1:2,:,:
48,49,2018-09-11,Сибирь,Автомобилист,0:2,0:0,1:2,:,:
49,50,2018-09-11,Трактор,Металлург Мг,0:0,0:1,1:0,0:1,:
50,51,2018-09-11,ЦСКА,Локомотив,0:1,0:2,1:0,:,:
51,52,2018-09-11,Динамо Р,Динамо М,1:1,2:0,1:1,:,:
52,53,2018-09-11,Слован,Северсталь,0:0,2:0,0:1,:,:
53,54,2018-09-12,Амур,Адмирал,2:1,1:0,0:0,:,:
54,55,2018-09-12,Авангард,Ак Барс,1:1,0:0,0:0,0:0,1:0
55,56,2018-09-12,Барыс,Нефтехимик,2:1,2:1,0:2,0:1,:
56,57,2018-09-12,Салават Юлаев,Торпедо НН,0:0,3:0,1:3,:,:
57,58,2018-09-12,Витязь,ХК Сочи,1:0,0:1,2:0,:,:
58,59,2018-09-12,СКА,Йокерит,1:1,2:1,0:1,1:0,:
59,60,2018-09-12,Динамо Мн,Спартак,1:0,0:1,2:0,:,:
60,61,2018-09-13,Авангард,Металлург Мг,0:0,0:1,0:0,:,:
61,62,2018-09-13,Трактор,Автомобилист,1:2,0:1,0:1,:,:
62,63,2018-09-13,ЦСКА,Северсталь,0:1,1:1,0:0,:,:
63,64,2018-09-13,Слован,Динамо М,0:0,1:0,2:2,:,:
64,65,2018-09-14,Амур,Адмирал,0:1,0:0,0:1,:,:
65,66,2018-09-14,Сибирь,Нефтехимик,1:0,0:1,2:3,:,:
66,67,2018-09-14,Барыс,Торпедо НН,0:1,1:0,3:0,:,:
67,68,2018-09-14,Салават Юлаев,Ак Барс,2:0,2:1,0:3,0:0,0:1
68,69,2018-09-14,Витязь,Йокерит,0:2,0:2,1:0,:,:
69,70,2018-09-14,СКА,Спартак,0:1,2:0,0:0,:,:
70,71,2018-09-14,Динамо Мн,ХК Сочи,0:1,1:0,0:2,:,:
71,73,2018-09-15,Металлург Мг,Трактор,2:2,2:3,1:1,:,:
72,74,2018-09-15,Локомотив,Северсталь,1:0,1:1,2:0,:,:
73,75,2018-09-15,Витязь,Слован,2:0,2:1,2:3,:,:
74,72,2018-09-16,Куньлунь РС,Динамо Р,0:3,2:1,0:0,:,:
75,76,2018-09-16,Сибирь,Торпедо НН,1:1,0:1,1:1,:,:
76,77,2018-09-16,Барыс,Ак Барс,1:1,1:2,1:0,0:0,1:0
77,78,2018-09-16,Салават Юлаев,Нефтехимик,0:0,1:2,0:1,:,:
78,79,2018-09-17,Адмирал,ЦСКА,1:2,2:0,0:1,0:1,:
79,80,2018-09-17,Амур,Динамо Р,1:1,1:0,0:0,:,:
80,81,2018-09-17,Куньлунь РС,Слован,0:1,1:1,2:1,0:0,1:0
81,82,2018-09-17,Спартак,Автомобилист,1:1,1:2,0:1,:,:
82,83,2018-09-17,ХК Сочи,Металлург Мг,0:0,1:0,0:2,:,:
83,84,2018-09-17,Йокерит,Трактор,0:0,5:0,3:0,:,:
84,85,2018-09-18,Барыс,Авангард,0:3,2:0,1:0,0:0,0:1
85,86,2018-09-18,Салават Юлаев,Сибирь,1:0,1:1,1:0,:,:
86,87,2018-09-18,Локомотив,Динамо Мн,1:0,0:2,0:0,:,:
87,88,2018-09-18,Северсталь,СКА,0:2,0:3,0:0,:,:
88,89,2018-09-18,Торпедо НН,Ак Барс,1:2,0:0,1:2,:,:
89,90,2018-09-18,Динамо М,Витязь,1:1,3:0,0:1,:,:
90,91,2018-09-19,Адмирал,Динамо Р,1:1,1:1,0:0,0:0,0:1
91,92,2018-09-19,Амур,Слован,1:1,1:0,1:1,:,:
92,93,2018-09-19,Куньлунь РС,ЦСКА,0:2,0:1,0:0,:,:
93,94,2018-09-19,Спартак,Трактор,2:0,3:0,1:1,:,:
94,95,2018-09-19,ХК Сочи,Автомобилист,0:0,1:1,0:4,:,:
95,96,2018-09-19,Йокерит,Металлург Мг,1:1,3:1,1:1,:,:
96,97,2018-09-20,Сибирь,Авангард,0:1,1:2,0:0,:,:
97,98,2018-09-20,Локомотив,Витязь,1:2,2:0,1:1,:,:
98,99,2018-09-20,Северсталь,Динамо Мн,0:0,0:3,1:1,:,:
99,100,2018-09-20,Динамо М,СКА,0:3,0:0,0:1,:,:
100,101,2018-09-21,Адмирал,Слован,2:1,1:3,1:1,:,:
101,102,2018-09-21,Амур,ЦСКА,0:1,0:2,0:1,:,:
102,103,2018-09-21,Нефтехимик,Ак Барс,1:0,0:2,0:0,:,:
103,104,2018-09-21,Торпедо НН,Металлург Мг,1:1,2:1,0:0,:,:
104,105,2018-09-21,ХК Сочи,Трактор,1:1,1:1,1:1,0:1,:
105,106,2018-09-21,Йокерит,Автомобилист,0:0,0:0,0:3,:,:
106,107,2018-09-22,Авангард,Куньлунь РС,1:1,1:0,2:1,:,:
107,108,2018-09-22,Салават Юлаев,Барыс,2:1,5:0,0:2,:,:
108,109,2018-09-22,Локомотив,СКА,0:0,0:2,0:0,:,:
109,110,2018-09-22,Северсталь,Витязь,2:0,0:1,0:0,:,:
