,Номер,Дата,Команда_1,Команда_2,Период_1,Период_2,Период_3,Овертайм,Буллиты
110,111,2018-09-22,Динамо М,Динамо Мн,1:0,2:1,2:1,:,:
111,112,2018-09-23,Динамо Р,Спартак,0:3,0:0,1:0,:,:
112,113,2018-09-24,Авангард,Амур,1:2,1:1,1:0,1:0,:
113,114,2018-09-24,Трактор,Салават Юлаев,0:1,0:1,0:3,:,:
114,115,2018-09-24,Ак Барс,Сибирь,1:1,1:1,1:0,:,:
115,116,2018-09-24,Нефтехимик,Куньлунь РС,0:1,0:0,0:1,:,:
116,117,2018-09-24,Динамо М,Барыс,0:0,1:1,1:1,0:1,:
117,118,2018-09-25,Автомобилист,Локомотив,1:2,0:2,3:0,1:0,:
118,119,2018-09-25,Металлург Мг,Северсталь,1:1,1:0,0:0,:,:
119,120,2018-09-25,ЦСКА,ХК Сочи,1:0,0:1,0:0,0:0,1:0
120,121,2018-09-25,Динамо Р,Йокерит,0:0,1:0,0:1,1:0,:
121,122,2018-09-25,Слован,Спартак,0:1,1:1,0:2,:,:
122,123,2018-09-26,Ак Барс,Куньлунь РС,0:1,3:2,0:1,:,:
123,124,2018-09-26,Нефтехимик,Амур,1:0,1:0,0:1,:,:
124,125,2018-09-26,Торпедо НН,Адмирал,1:0,0:1,4:0,:,:
125,126,2018-09-26,Витязь,Барыс,1:1,0:2,2:0,0:0,0:1
126,127,2018-09-26,СКА,Сибирь,1:0,1:0,3:0,:,:
127,128,2018-09-26,Динамо Мн,Салават Юлаев,0:0,0:3,1:0,:,:
128,129,2018-09-27,Автомобилист,Северсталь,0:0,2:0,2:0,:,:
129,130,2018-09-27,Металлург Мг,Динамо М,3:2,1:2,1:1,1:0,:
130,131,2018-09-27,Трактор,Локомотив,1:1,0:1,0:0,:,:
131,132,2018-09-27,ЦСКА,Спартак,1:0,1:0,0:1,:,:
132,133,2018-09-27,Динамо Р,ХК Сочи,0:2,0:0,1:2,:,:
133,134,2018-09-27,Слован,Йокерит,2:1,1:1,0:3,:,:
134,135,2018-09-28,Ак Барс,Амур,0:0,0:1,3:0,:,:
135,136,2018-09-28,Нефтехимик,Адмирал,1:0,0:1,0:0,0:0,0:1
136,137,2018-09-28,Торпедо НН,Куньлунь РС,0:0,1:1,1:1,1:0,:
137,138,2018-09-28,Витязь,Салават Юлаев,0:1,2:1,1:0,:,:
138,139,2018-09-28,СКА,Авангард,1:0,0:1,1:1,0:0,0:1
139,140,2018-09-28,Динамо Мн,Сибирь,2:0,1:0,2:1,:,:
140,141,2018-09-29,Автомобилист,Динамо М,0:0,0:0,1:0,:,:
141,142,2018-09-29,Металлург Мг,Локомотив,1:1,2:0,0:1,:,:
142,143,2018-09-29,Трактор,Северсталь,1:1,0:0,1:0,:,:
143,144,2018-09-29,Динамо Р,Барыс,0:5,2:0,1:2,:,:
144,145,2018-09-29,Слован,ХК Сочи,0:2,1:0,0:2,:,:
145,146,2018-09-30,Ак Барс,Адмирал,0:1,1:0,3:1,:,:
146,147,2018-09-30,Торпедо НН,Амур,1:2,0:1,3:0,:,:
147,148,2018-09-30,Витязь,Сибирь,1:1,1:2,1:1,:,:
148,149,2018-09-30,Динамо Мн,Авангард,0:1,0:1,1:0,:,:
149,150,2018-10-01,Салават Юлаев,ЦСКА,0:2,0:0,1:0,:,:
150,151,2018-10-01,Трактор,Динамо М,0:0,0:0,1:0,:,:
151,152,2018-10-01,Йокерит,ХК Сочи,1:1,3:0,0:1,:,:
152,153,2018-10-02,Локомотив,Нефтехимик,1:1,1:2,0:1,:,:
153,154,2018-10-02,Витязь,Авангард,0:0,0:3,0:3,:,:
154,155,2018-10-02,Спартак,СКА,0:2,0:1,0:3,:,:
155,156,2018-10-03,Адмирал,Автомобилист,2:2,1:2,0:1,:,:
156,157,2018-10-03,Куньлунь РС,Металлург Мг,0:0,0:1,1:2,:,:
157,158,2018-10-03,Барыс,ЦСКА,0:0,0:1,2:1,0:1,:
158,160,2018-10-04,Локомотив,Торпедо НН,0:1,2:1,1:1,0:0,1:0
159,161,2018-10-04,Северсталь,Нефтехимик,0:1,0:1,3:1,0:1,:
160,162,2018-10-04,Спартак,Динамо Мн,1:1,1:1,1:1,1:0,:
161,163,2018-10-04,Динамо М,Ак Барс,0:0,1:1,0:1,:,:
162,164,2018-10-04,ХК Сочи,СКА,1:1,0:2,0:0,:,:
163,165,2018-10-05,Адмирал,Металлург Мг,2:1,1:1,0:2,:,:
164,166,2018-10-05,Амур,Автомобилист,0:1,1:1,1:3,:,:
165,167,2018-10-05,Куньлунь РС,Трактор,0:0,1:0,1:0,:,:
166,170,2018-10-05,Салават Юлаев,Слован,2:1,1:0,1:0,:,:
167,180,2018-10-05,Сибирь,ЦСКА,0:1,0:0,0:1,:,:
168,181,2018-10-05,Авангард,Динамо Р,2:0,2:0,1:2,:,:
169,171,2018-10-06,Локомотив,Ак Барс,0:1,0:0,2:0,:,:
170,172,2018-10-06,Северсталь,Торпедо НН,1:0,0:1,1:0,:,:
171,173,2018-10-06,Спартак,Витязь,0:0,0:1,2:1,0:1,:
172,174,2018-10-06,Динамо М,Нефтехимик,1:0,1:0,1:0,:,:
173,175,2018-10-06,ХК Сочи,Динамо Мн,1:1,0:2,2:0,1:0,:
174,176,2018-10-06,Йокерит,СКА,0:2,1:3,1:1,:,:
175,168,2018-10-07,Сибирь,Динамо Р,1:0,4:0,1:3,:,:
176,169,2018-10-07,Авангард,ЦСКА,1:0,1:1,0:3,:,:
177,177,2018-10-07,Адмирал,Трактор,1:1,1:3,0:3,:,:
178,178,2018-10-07,Амур,Металлург Мг,2:1,0:1,1:2,:,:
179,179,2018-10-07,Куньлунь РС,Автомобилист,1:0,1:2,0:3,:,:
180,182,2018-10-07,Барыс,Слован,1:0,2:0,0:0,:,:
181,183,2018-10-08,Северсталь,Ак Барс,0:2,0:0,0:0,:,:
182,184,2018-10-08,Динамо М,Торпедо НН,1:0,1:2,1:1,0:0,1:0
183,185,2018-10-08,ХК Сочи,Витязь,0:1,2:1,0:0,0:0,0:1
184,186,2018-10-08,Йокерит,Динамо Мн,3:2,1:0,1:1,:,:
185,187,2018-10-09,Амур,Трактор,1:1,1:0,1:0,:,:
186,188,2018-10-09,Сибирь,Слован,0:1,0:0,1:0,0:1,:
187,189,2018-10-09,Барыс,Динамо Р,1:0,1:0,1:1,:,:
188,190,2018-10-09,Салават Юлаев,Авангард,3:0,0:2,0:0,:,:
189,191,2018-10-09,Нефтехимик,Спартак,0:1,2:0,2:0,:,:
190,707,2018-10-09,Адмирал,Куньлунь РС,0:1,1:1,1:1,:,:
191,192,2018-10-10,Металлург Мг,Автомобилист,0:1,0:2,1:1,:,:
192,193,2018-10-10,СКА,Локомотив,0:0,0:0,0:0,0:1,:
193,194,2018-10-10,ЦСКА,Динамо М,1:0,1:1,3:0,:,:
194,195,2018-10-10,Йокерит,Витязь,0:0,1:1,3:0,:,:
195,196,2018-10-11,Авангард,Слован,2:1,0:0,0:1,0:1,:
196,197,2018-10-11,Салават Юлаев,Трактор,0:0,2:0,3:0,:,:
197,198,2018-10-11,Ак Барс,Спартак,0:0,1:0,0:0,:,:
198,199,2018-10-11,Торпедо НН,ХК Сочи,1:0,0:2,1:0,0:1,:
199,200,2018-10-12,Автомобилист,Сибирь,0:0,2:0,2:1,:,:
200,201,2018-10-12,СКА,Северсталь,0:0,2:0,0:0,:,:
201,202,2018-10-12,ЦСКА,Адмирал,0:0,0:1,1:0,0:0,1:0
202,203,2018-10-12,Динамо Мн,Локомотив,1:0,0:2,1:3,:,:
203,204,2018-10-12,Динамо Р,Куньлунь РС,0:1,0:1,1:1,:,:
204,205,2018-10-13,Ак Барс,ХК Сочи,2:0,2:1,1:0,:,:
205,206,2018-10-13,Нефтехимик,Йокерит,1:0,0:1,0:0,1:0,:
206,207,2018-10-13,Торпедо НН,Спартак,1:2,0:0,0:1,:,:
207,208,2018-10-14,Авангард,Барыс,1:1,1:1,3:1,:,:
208,209,2018-10-14,Автомобилист,Салават Юлаев,1:0,0:0,0:0,:,:
209,210,2018-10-14,Металлург Мг,Сибирь,0:0,0:0,0:2,:,:
210,211,2018-10-14,Динамо М,Локомотив,0:0,0:1,0:2,:,:
211,212,2018-10-14,ЦСКА,Амур,1:0,3:0,1:0,:,:
212,213,2018-10-14,Динамо Мн,Северсталь,1:0,0:1,0:0,0:1,:
213,214,2018-10-14,Динамо Р,Адмирал,0:0,0:0,2:0,:,:
214,215,2018-10-14,Слован,Куньлунь РС,0:0,2:1,1:2,1:0,:
215,216,2018-10-15,Нефтехимик,ХК Сочи,1:2,1:1,0:1,:,:
216,217,2018-10-15,СКА,Спартак,1:1,0:0,1:1,1:0,:
217,218,2018-10-16,Автомобилист,Барыс,0:1,0:1,1:0,:,:
218,219,2018-10-16,Металлург Мг,Салават Юлаев,1:1,0:0,0:0,0:1,:
219,220,2018-10-16,Трактор,Сибирь,0:0,1:0,0:1,0:0,1:0
220,221,2018-10-16,Ак Барс,Йокерит,0:1,1:0,1:2,:,:
221,222,2018-10-16,Витязь,Северсталь,1:0,3:0,0:1,:,:
222,223,2018-10-16,ЦСКА,Куньлунь РС,0:2,1:1,2:1,:,:
223,224,2018-10-16,Динамо Мн,Динамо М,0:0,1:1,0:2,:,:
224,225,2018-10-16,Динамо Р,Амур,0:1,0:0,0:0,:,:
225,226,2018-10-16,Слован,Адмирал,1:2,1:1,2:0,:,:
226,227,2018-10-18,Металлург Мг,Авангард,0:0,1:0,3:1,:,:
227,228,2018-10-18,Трактор,Барыс,1:0,3:2,0:2,0:1,:
228,229,2018-10-18,Ак Барс,Салават Юлаев,1:1,2:0,0:0,:,:
229,230,2018-10-18,Локомотив,Адмирал,0:0,4:0,0:0,:,:
230,231,2018-10-18,Торпедо НН,Йокерит,1:1,2:1,1:2,0:1,:
231,232,2018-10-18,Витязь,Нефтехимик,2:0,1:0,0:1,:,:
232,233,2018-10-18,СКА,Динамо М,1:1,2:0,0:1,:,:
233,234,2018-10-18,Спартак,Динамо Р,0:2,1:0,1:1,:,:
234,235,2018-10-18,Слован,Амур,0:0,2:0,0:1,:,:
235,236,2018-10-19,Северсталь,Автомобилист,0:1,0:1,1:1,:,:
236,237,2018-10-19,ХК Сочи,ЦСКА,0:0,0:1,1:0,0:0,0:1
237,238,2018-10-20,Куньлунь РС,Нефтехимик,1:0,1:2,0:2,:,:
238,239,2018-10-20,Сибирь,Динамо Мн,3:0,3:0,0:0,:,:
239,240,2018-10-20,Трактор,Авангард,0:0,1:0,0:1,1:0,:
240,241,2018-10-20,Витязь,Динамо Р,0:1,1:1,0:0,:,:
241,242,2018-10-20,Спартак,Слован,1:0,1:1,2:0,:,:
242,243,2018-10-21,Локомотив,Автомобилист,1:1,0:0,0:0,0:1,:
243,244,2018-10-21,Северсталь,Металлург Мг,0:0,1:1,0:0,0:1,:
244,245,2018-10-21,СКА,ЦСКА,0:1,1:0,0:0,0:0,0:1
245,246,2018-10-22,Адмирал,Нефтехимик,1:0,0:0,3:1,:,:
246,247,2018-10-22,Амур,Торпедо НН,1:1,2:1,0:1,0:1,:
247,248,2018-10-22,Сибирь,Ак Барс,0:0,0:0,0:1,:,:
248,249,2018-10-22,Барыс,Динамо Мн,0:0,2:0,1:1,:,:
249,250,2018-10-22,Салават Юлаев,Авангард,0:0,0:0,0:0,0:1,:
250,251,2018-10-22,Спартак,Динамо М,1:1,0:1,3:0,:,:
251,252,2018-10-22,ХК Сочи,Слован,2:1,0:0,2:1,:,:
252,253,2018-10-22,Йокерит,Динамо Р,1:1,2:1,4:1,:,:
253,254,2018-10-23,Локомотив,Металлург Мг,1:0,2:0,0:2,:,:
254,255,2018-10-23,Северсталь,Трактор,0:0,2:0,2:0,:,:
255,256,2018-10-24,Адмирал,Торпедо НН,0:0,3:0,0:2,:,:
256,257,2018-10-24,Амур,Нефтехимик,1:1,0:1,4:1,:,:
257,258,2018-10-24,Куньлунь РС,Ак Барс,0:0,3:0,0:0,:,:
258,259,2018-10-24,Сибирь,Витязь,0:1,3:1,1:0,:,:
259,260,2018-10-24,Авангард,Динамо Мн,0:1,3:0,0:2,1:0,:
260,261,2018-10-24,Салават Юлаев,СКА,0:1,1:0,1:0,:,:
261,262,2018-10-25,Автомобилист,Металлург Мг,3:0,0:1,2:2,:,:
262,263,2018-10-25,Локомотив,Трактор,0:0,0:0,0:0,1:0,:
263,264,2018-10-25,ХК Сочи,Динамо М,0:2,1:2,0:1,:,:
264,265,2018-10-26,Амур,Ак Барс,1:0,0:2,1:2,:,:
265,266,2018-10-26,Куньлунь РС,Торпедо НН,0:0,0:1,1:0,0:0,0:1
266,267,2018-10-26,Барыс,Витязь,1:1,2:0,0:0,:,:
267,268,2018-10-26,Йокерит,Спартак,1:3,2:0,0:0,1:0,:
268,269,2018-10-26,Динамо Р,СКА,0:0,1:1,0:1,:,:
269,270,2018-10-26,Слован,ЦСКА,0:4,0:3,0:2,:,:
270,271,2018-10-27,Металлург Мг,Динамо М,1:1,1:0,0:0,:,:
271,272,2018-10-27,Нефтехимик,Трактор,2:0,1:0,1:1,:,:
272,273,2018-10-28,Адмирал,Ак Барс,1:0,0:2,0:3,:,:
273,274,2018-10-28,Авангард,Торпедо НН,0:0,0:0,1:3,:,:
274,275,2018-10-28,Барыс,Сибирь,2:0,2:2,1:0,:,:
275,276,2018-10-28,Автомобилист,Спартак,1:0,0:1,0:0,1:0,:
276,277,2018-10-28,Салават Юлаев,Витязь,0:0,1:1,1:0,:,:
277,278,2018-10-28,Йокерит,Северсталь,1:0,0:0,2:2,:,:
278,279,2018-10-28,Слован,СКА,0:1,0:2,0:4,:,:
279,280,2018-10-29,Локомотив,ХК Сочи,1:0,0:1,0:1,:,:
280,282,2018-10-29,Динамо Мн,Амур,0:2,2:3,1:1,:,:
281,323,2018-10-29,Салават Юлаев,Динамо М,0:0,2:2,0:0,0:1,:
282,283,2018-10-30,Барыс,Адмирал,1:0,0:0,1:0,:,:
283,284,2018-10-30,Трактор,Спартак,3:0,1:1,0:0,:,:
284,285,2018-10-30,СКА,Куньлунь РС,1:1,0:0,4:0,:,:
285,286,2018-10-30,ЦСКА,Сибирь,0:1,2:0,2:1,:,:
286,287,2018-10-30,Динамо Р,Северсталь,0:0,1:0,2:0,:,:
287,281,2018-10-31,Нефтехимик,Динамо М,2:1,0:1,1:1,0:1,:
288,288,2018-10-31,Автомобилист,Йокерит,1:1,2:0,0:0,:,:
289,289,2018-10-31,Металлург Мг,ХК Сочи,2:1,0:0,2:0,:,:
290,290,2018-10-31,Витязь,Амур,2:0,1:1,1:0,:,:
291,291,2018-11-01,Авангард,Адмирал,2:0,1:2,1:1,:,:
292,292,2018-11-01,Барыс,Трактор,1:1,0:1,2:1,0:1,:
293,293,2018-11-01,Салават Юлаев,Спартак,1:0,2:2,0:2,:,:
294,294,2018-11-01,Торпедо НН,Северсталь,3:1,3:0,1:1,:,:
295,295,2018-11-01,Динамо Мн,Куньлунь РС,0:0,2:0,2:1,:,:
296,296,2018-11-01,Динамо Р,Локомотив,2:0,0:2,1:0,:,:
297,297,2018-11-01,Слован,Сибирь,1:0,0:2,2:0,:,:
298,298,2018-11-02,Автомобилист,ХК Сочи,2:0,1:0,1:1,:,:
299,299,2018-11-02,Металлург Мг,Йокерит,1:1,1:0,1:1,:,:
300,300,2018-11-02,СКА,Амур,0:0,0:2,3:0,:,:
301,301,2018-11-03,Авангард,Адмирал,2:0,1:0,0:1,:,:
302,302,2018-11-03,Нефтехимик,Ак Барс,0:1,2:1,0:0,0:0,1:0
303,303,2018-11-03,Торпедо НН,Салават Юлаев,2:1,0:0,1:0,:,:
304,304,2018-11-03,Витязь,Куньлунь РС,0:0,1:1,0:1,:,:
305,305,2018-11-03,Динамо Мн,Барыс,0:3,0:0,2:0,:,:
306,306,2018-11-03,Слован,Локомотив,0:0,0:2,0:1,:,:
307,307,2018-11-04,Автомобилист,Сибирь,0:1,3:1,1:0,:,:
308,308,2018-11-04,Металлург Мг,Амур,1:0,2:0,0:0,:,:
309,309,2018-11-04,Трактор,ХК Сочи,2:1,0:2,0:1,:,:
310,311,2018-11-04,ЦСКА,Йокерит,2:0,1:0,2:0,:,:
311,312,2018-11-05,Нефтехимик,Салават Юлаев,0:1,0:0,2:2,:,:
312,313,2018-11-05,Торпедо НН,Ак Барс,1:1,2:0,0:2,0:1,:
313,314,2018-11-05,Витязь,Локомотив,2:2,1:1,1:0,:,:
314,315,2018-11-05,Динамо М,Спартак,0:1,0:0,1:1,:,:
315,316,2018-11-05,ЦСКА,СКА,1:1,2:0,0:0,:,:
316,317,2018-11-05,Слован,Барыс,0:0,1:2,0:0,:,:
317,333,2018-11-05,Авангард,Куньлунь РС,1:0,2:0,2:1,:,:
318,319,2018-11-06,Северсталь,Йокерит,0:1,0:2,0:1,:,:
319,320,2018-11-06,ХК Сочи,Динамо Мн,1:1,0:1,0:0,:,:
320,321,2018-11-12,Сибирь,Барыс,0:1,1:0,0:0,0:1,:
321,322,2018-11-12,Авангард,Амур,1:0,1:0,1:0,:,:
322,324,2018-11-12,Северсталь,Адмирал,0:1,0:0,1:0,0:0,1:0
323,325,2018-11-12,Витязь,Локомотив,1:1,1:2,0:1,:,:
324,326,2018-11-12,СКА,Автомобилист,1:0,3:0,1:2,:,:
325,327,2018-11-12,Спартак,Металлург Мг,1:3,2:0,1:1,0:0,0:1
326,328,2018-11-12,Динамо Мн,Трактор,2:1,1:0,0:0,:,:
327,329,2018-11-13,Ак Барс,Слован,1:1,1:0,0:0,:,:
328,330,2018-11-13,Нефтехимик,Динамо Р,0:0,0:2,3:2,:,:
329,331,2018-11-13,Торпедо НН,ЦСКА,0:1,0:0,0:2,:,:
330,335,2018-11-14,Витязь,Трактор,0:1,1:1,2:1,0:1,:
331,336,2018-11-14,СКА,Адмирал,0:1,3:0,5:1,:,:
332,337,2018-11-14,Спартак,Автомобилист,0:1,1:2,2:0,1:0,:
333,338,2018-11-14,ХК Сочи,Локомотив,0:1,1:1,1:0,1:0,:
334,339,2018-11-14,Йокерит,Северсталь,1:0,2:0,1:0,:,:
335,340,2018-11-14,Динамо Мн,Металлург Мг,0:0,0:0,0:2,:,:
336,344,2018-11-14,Сибирь,Куньлунь РС,1:1,1:0,0:3,:,:
337,345,2018-11-14,Авангард,Динамо М,0:1,0:2,0:1,:,:
338,346,2018-11-14,Барыс,Амур,3:4,1:2,1:0,:,:
339,341,2018-11-15,Ак Барс,ЦСКА,0:1,0:3,0:1,:,:
340,342,2018-11-15,Нефтехимик,Слован,0:0,1:3,1:0,:,:
341,343,2018-11-15,Торпедо НН,Динамо Р,0:1,2:1,0:0,0:1,:
342,332,2018-11-16,Сибирь,Амур,1:0,0:0,0:1,0:0,1:0
343,334,2018-11-16,Барыс,Динамо М,1:0,0:1,1:1,0:1,:
344,347,2018-11-16,Салават Юлаев,Адмирал,1:0,2:0,0:1,:,:
