,Номер,Дата,Команда_1,Команда_2,Период_1,Период_2,Период_3,Овертайм,Буллиты
0,1,2021-09-01,Авангард,ЦСКА,1:0,0:0,3:0,:,:
1,2,2021-09-02,Ак Барс,Йокерит,2:0,1:0,0:0,:,:
2,3,2021-09-02,Локомотив,Динамо Р,1:2,1:0,1:0,:,:
3,4,2021-09-02,Нефтехимик,Куньлунь РС,2:0,1:0,2:1,:,:
4,5,2021-09-02,Северсталь,СКА,1:1,1:0,0:2,:,:
5,6,2021-09-02,Торпедо,Витязь,2:2,0:1,1:3,:,:
6,7,2021-09-02,Спартак,Адмирал,0:0,2:0,2:1,:,:
7,8,2021-09-02,ХК Сочи,Амур,2:0,1:0,1:0,:,:
8,9,2021-09-03,Барыс,Салават Юлаев,0:1,0:2,1:2,:,:
9,10,2021-09-03,Автомобилист,Металлург Мг,0:2,2:2,0:2,:,:
10,11,2021-09-03,Трактор,Сибирь,1:2,0:0,1:0,1:0,:
11,12,2021-09-03,Динамо М,Динамо Мн,3:0,1:1,0:0,:,:
12,13,2021-09-04,Авангард,Адмирал,1:1,2:1,0:1,0:0,1:0
13,14,2021-09-04,Ак Барс,Куньлунь РС,3:0,0:2,0:2,:,:
14,15,2021-09-04,Локомотив,СКА,1:1,1:2,1:0,0:0,0:1
15,16,2021-09-04,Нефтехимик,Йокерит,0:1,2:1,2:0,:,:
16,17,2021-09-04,Спартак,Амур,0:0,2:0,1:1,:,:
17,18,2021-09-04,ХК Сочи,Витязь,4:0,1:1,0:4,1:0,:
18,19,2021-09-04,ЦСКА,Динамо Р,0:0,1:2,2:0,:,:
19,20,2021-09-05,Барыс,Металлург Мг,0:0,0:0,1:2,:,:
20,21,2021-09-05,Автомобилист,Салават Юлаев,0:2,2:2,0:0,:,:
21,22,2021-09-05,Ак Барс,Торпедо,0:1,0:0,1:2,:,:
22,23,2021-09-05,Северсталь,Динамо Мн,1:2,0:1,0:1,:,:
23,24,2021-09-05,Динамо М,Сибирь,2:0,1:0,1:0,:,:
24,25,2021-09-06,Авангард,Амур,1:0,0:2,1:0,1:0,:
25,26,2021-09-06,Куньлунь РС,Динамо Р,1:1,2:3,2:2,:,:
26,27,2021-09-06,СКА,Адмирал,3:0,2:1,4:1,:,:
27,28,2021-09-06,Спартак,Витязь,2:1,0:0,0:1,1:0,:
28,29,2021-09-06,ХК Сочи,ЦСКА,0:3,1:1,0:0,:,:
29,30,2021-09-06,Йокерит,Трактор,2:0,1:1,1:3,1:0,:
30,31,2021-09-07,Металлург Мг,Салават Юлаев,0:1,0:2,2:4,:,:
31,32,2021-09-07,Локомотив,Динамо Мн,0:2,2:0,1:2,:,:
32,33,2021-09-07,Торпедо,Сибирь,0:0,0:1,0:2,:,:
33,34,2021-09-08,Барыс,Амур,2:0,1:1,0:1,:,:
34,35,2021-09-08,Ак Барс,ЦСКА,0:0,1:0,0:1,0:1,:
35,36,2021-09-08,Северсталь,Адмирал,1:1,0:1,1:0,1:0,:
36,37,2021-09-08,Динамо М,Авангард,1:0,2:2,2:0,:,:
37,38,2021-09-08,СКА,Автомобилист,0:2,1:1,1:1,:,:
38,39,2021-09-08,Динамо Р,Трактор,0:2,1:3,0:1,:,:
39,40,2021-09-09,Салават Юлаев,Спартак,0:1,2:0,0:0,:,:
40,41,2021-09-09,Куньлунь РС,Йокерит,1:1,2:4,2:1,:,:
41,42,2021-09-09,Нефтехимик,Сибирь,1:2,2:0,1:0,:,:
42,43,2021-09-09,Торпедо,ХК Сочи,0:1,2:0,0:0,:,:
