,Номер,Дата,Команда_1,Команда_2,Период_1,Период_2,Период_3,Овертайм,Буллиты
43,44,2021-09-10,Металлург Мг,Адмирал,1:1,0:1,2:1,1:0,:
44,45,2021-09-10,Северсталь,Трактор,0:1,1:0,0:0,0:0,0:1
45,46,2021-09-10,Витязь,Ак Барс,0:1,0:0,1:0,0:1,:
46,47,2021-09-10,ЦСКА,Локомотив,2:0,1:1,0:0,:,:
47,48,2021-09-10,Динамо Мн,Автомобилист,0:0,0:1,1:1,:,:
48,49,2021-09-11,Барыс,Спартак,0:1,1:2,0:1,:,:
49,50,2021-09-11,Салават Юлаев,Нефтехимик,2:0,2:0,1:1,:,:
50,51,2021-09-11,Авангард,Йокерит,1:1,1:0,0:2,:,:
51,52,2021-09-11,Куньлунь РС,ХК Сочи,0:1,2:1,0:0,0:0,1:0
52,53,2021-09-12,Амур,Динамо М,1:2,1:1,0:3,:,:
53,54,2021-09-12,Торпедо,СКА,3:1,0:1,0:0,:,:
54,55,2021-09-12,Витязь,Автомобилист,0:1,0:1,3:1,0:0,0:1
55,56,2021-09-12,Динамо Мн,Ак Барс,1:0,0:2,4:0,:,:
56,57,2021-09-12,Динамо Р,Локомотив,0:4,0:0,0:0,:,:
57,58,2021-09-13,Сибирь,Северсталь,1:2,1:0,0:2,:,:
58,59,2021-09-13,Металлург Мг,Нефтехимик,3:0,0:0,1:0,:,:
59,60,2021-09-14,Адмирал,Динамо М,1:0,1:1,1:4,:,:
60,61,2021-09-14,Куньлунь РС,Автомобилист,1:1,0:1,0:3,:,:
61,62,2021-09-14,Витязь,Трактор,2:0,0:2,1:2,:,:
62,63,2021-09-14,Спартак,СКА,0:0,0:2,0:0,:,:
63,64,2021-09-14,ХК Сочи,Ак Барс,1:0,0:1,1:1,0:0,0:1
64,65,2021-09-14,ЦСКА,Барыс,2:0,0:1,1:5,:,:
65,66,2021-09-14,Йокерит,Локомотив,1:0,0:0,1:0,:,:
66,67,2021-09-14,Динамо Р,Торпедо,0:0,2:0,0:1,:,:
67,68,2021-09-15,Амур,Северсталь,2:1,0:0,1:1,:,:
68,69,2021-09-15,Металлург Мг,Авангард,2:2,3:2,2:0,:,:
69,70,2021-09-16,Сибирь,Динамо М,0:1,0:3,4:1,:,:
70,71,2021-09-16,Салават Юлаев,Куньлунь РС,1:0,1:0,3:1,:,:
71,72,2021-09-16,Нефтехимик,Трактор,0:2,0:0,1:1,:,:
72,73,2021-09-16,Спартак,ЦСКА,0:0,1:3,2:2,:,:
73,74,2021-09-16,ХК Сочи,СКА,0:0,0:1,0:1,:,:
74,75,2021-09-16,Йокерит,Торпедо,2:0,1:3,1:1,0:0,1:0
75,76,2021-09-16,Динамо Р,Барыс,2:0,0:0,1:2,:,:
76,77,2021-09-17,Адмирал,Северсталь,0:0,2:0,2:1,:,:
77,78,2021-09-17,Автомобилист,Авангард,0:1,0:1,1:1,:,:
78,79,2021-09-18,Амур,Металлург Мг,2:0,0:5,0:1,:,:
79,80,2021-09-18,Салават Юлаев,Динамо Мн,0:0,1:0,0:0,:,:
80,81,2021-09-18,Трактор,Куньлунь РС,0:0,2:0,2:1,:,:
81,82,2021-09-18,Ак Барс,ХК Сочи,0:0,0:0,1:0,:,:
82,83,2021-09-18,Локомотив,Торпедо,1:0,0:1,3:2,:,:
83,84,2021-09-18,Нефтехимик,Витязь,0:1,2:1,3:0,:,:
84,85,2021-09-18,Йокерит,Барыс,0:1,2:1,0:0,0:0,1:0
85,86,2021-09-19,Автомобилист,ЦСКА,1:0,1:1,0:1,0:1,:
86,87,2021-09-19,Спартак,Динамо Р,1:1,2:0,0:0,:,:
87,88,2021-09-20,Адмирал,Металлург Мг,0:4,0:1,0:0,:,:
88,89,2021-09-20,Сибирь,Куньлунь РС,0:0,1:0,0:0,:,:
89,90,2021-09-20,Трактор,Динамо Мн,0:2,0:1,0:2,:,:
90,91,2021-09-20,Ак Барс,Витязь,1:1,0:0,1:0,:,:
91,92,2021-09-20,Локомотив,Йокерит,0:2,1:1,0:1,:,:
92,93,2021-09-20,Нефтехимик,ХК Сочи,0:1,0:0,0:0,:,:
93,94,2021-09-21,Барыс,ЦСКА,1:0,0:0,0:1,0:1,:
94,95,2021-09-21,Северсталь,Салават Юлаев,0:0,1:0,1:1,:,:
95,96,2021-09-21,Динамо М,Динамо Р,1:1,0:0,3:0,:,:
96,97,2021-09-21,СКА,Амур,1:0,2:1,2:0,:,:
97,98,2021-09-21,Спартак,Авангард,0:2,0:1,0:1,:,:
98,99,2021-09-22,Сибирь,Металлург Мг,0:0,0:3,1:0,:,:
99,100,2021-09-22,Автомобилист,Динамо Мн,3:1,2:2,2:0,:,:
100,101,2021-09-22,Локомотив,Витязь,0:1,1:2,1:0,:,:
101,102,2021-09-22,Торпедо,Йокерит,1:1,0:0,1:3,:,:
102,103,2021-09-23,Трактор,ЦСКА,1:1,1:0,0:0,:,:
103,104,2021-09-23,Куньлунь РС,Амур,0:1,0:1,0:0,:,:
104,105,2021-09-23,Северсталь,Динамо Р,0:0,1:0,0:1,1:0,:
105,106,2021-09-23,СКА,Салават Юлаев,0:0,0:2,2:2,:,:
106,107,2021-09-23,ХК Сочи,Динамо М,0:0,0:1,0:3,:,:
107,108,2021-09-24,Ак Барс,Адмирал,0:0,1:1,0:0,0:0,1:0
108,109,2021-09-24,Нефтехимик,Спартак,0:1,2:1,0:0,0:1,:
109,110,2021-09-25,Барыс,Сибирь,0:0,1:1,0:0,1:0,:
110,111,2021-09-25,Автомобилист,Трактор,0:0,0:0,1:1,0:0,0:1
111,112,2021-09-25,Металлург Мг,ЦСКА,1:0,1:0,2:0,:,:
112,114,2021-09-25,Локомотив,Салават Юлаев,1:0,1:1,0:1,0:1,:
113,115,2021-09-25,Торпедо,Динамо М,0:0,2:0,2:2,:,:
114,116,2021-09-25,Витязь,Амур,2:0,2:0,0:1,:,:
115,117,2021-09-25,Динамо Мн,СКА,0:0,1:1,0:0,0:1,:
116,118,2021-09-25,Йокерит,ХК Сочи,1:0,2:0,1:2,:,:
117,119,2021-09-26,Ак Барс,Спартак,1:1,1:0,1:0,:,:
118,120,2021-09-26,Нефтехимик,Адмирал,1:0,2:0,1:0,:,:
119,121,2021-09-27,Барыс,Автомобилист,1:1,1:2,2:1,1:0,:
120,122,2021-09-27,Авангард,Локомотив,1:0,0:1,0:3,:,:
121,123,2021-09-27,Северсталь,Сибирь,0:0,0:0,1:0,:,:
122,124,2021-09-27,Торпедо,Трактор,1:1,2:0,2:1,:,:
123,125,2021-09-27,Витязь,СКА,1:1,3:0,1:4,0:0,1:0
124,126,2021-09-27,Динамо Мн,Амур,1:0,0:1,1:0,:,:
125,127,2021-09-27,Динамо Р,ХК Сочи,0:0,0:0,2:1,:,:
126,128,2021-09-28,Куньлунь РС,Адмирал,2:0,1:0,0:1,:,:
127,129,2021-09-28,Динамо М,Спартак,0:0,3:2,3:1,:,:
128,130,2021-09-29,Металлург Мг,Барыс,0:1,2:2,2:0,:,:
129,131,2021-09-29,Салават Юлаев,Автомобилист,1:0,2:1,0:1,:,:
130,132,2021-09-29,Авангард,ХК Сочи,0:1,2:0,1:0,:,:
131,133,2021-09-29,Витязь,Локомотив,0:0,0:2,1:2,:,:
132,134,2021-09-29,СКА,Трактор,0:2,3:1,0:0,0:0,1:0
133,135,2021-09-29,ЦСКА,Сибирь,0:0,0:0,0:0,1:0,:
134,136,2021-09-29,Динамо Мн,Нефтехимик,0:0,2:0,1:1,:,:
135,137,2021-09-29,Йокерит,Ак Барс,1:0,2:1,0:2,1:0,:
136,138,2021-09-29,Динамо Р,Северсталь,0:0,0:1,0:1,:,:
137,139,2021-09-30,Амур,Торпедо,1:1,1:2,1:0,1:0,:
138,140,2021-09-30,Куньлунь РС,Динамо М,2:2,1:1,0:2,:,:
139,141,2021-10-01,Металлург Мг,Автомобилист,2:1,0:0,2:1,:,:
140,142,2021-10-01,Салават Юлаев,Сибирь,1:2,0:1,0:0,:,:
141,143,2021-10-01,Динамо М,Барыс,1:0,1:0,1:1,:,:
142,144,2021-10-01,Спартак,Нефтехимик,2:0,1:0,2:1,:,:
143,145,2021-10-01,ЦСКА,Ак Барс,0:0,0:1,1:1,:,:
144,146,2021-10-01,Йокерит,Северсталь,1:1,1:0,2:0,:,:
145,147,2021-10-02,Адмирал,Торпедо,0:0,0:0,2:1,:,:
146,148,2021-10-02,Амур,Динамо Р,0:0,2:1,0:1,0:0,1:0
147,149,2021-10-02,Трактор,Авангард,2:0,2:2,0:1,:,:
148,150,2021-10-02,Куньлунь РС,Витязь,0:0,2:1,2:1,:,:
149,151,2021-10-03,Ак Барс,Салават Юлаев,1:0,0:0,1:0,:,:
150,152,2021-10-03,Локомотив,Барыс,2:2,1:1,1:0,:,:
151,153,2021-10-03,Динамо М,Металлург Мг,0:1,1:1,1:2,:,:
152,154,2021-10-03,СКА,Нефтехимик,0:0,1:0,1:0,:,:
153,155,2021-10-03,Спартак,Северсталь,1:0,1:0,0:0,:,:
154,156,2021-10-03,ХК Сочи,Динамо Мн,1:1,1:3,1:3,:,:
155,157,2021-10-04,Адмирал,Динамо Р,0:1,1:0,0:1,:,:
156,158,2021-10-04,Амур,Витязь,0:0,0:1,1:0,0:0,1:0
157,159,2021-10-04,Сибирь,Торпедо,0:3,0:0,0:0,:,:
158,160,2021-10-04,Автомобилист,Авангард,1:0,2:1,2:1,:,:
159,161,2021-10-04,Трактор,Йокерит,1:0,1:1,0:1,0:0,1:0
160,162,2021-10-04,ЦСКА,Куньлунь РС,1:1,1:0,2:0,:,:
161,163,2021-10-05,Ак Барс,Динамо Мн,1:1,2:1,0:1,0:1,:
162,164,2021-10-05,СКА,Локомотив,0:0,1:0,0:0,:,:
163,165,2021-10-05,Спартак,Металлург Мг,0:2,0:1,0:1,:,:
164,166,2021-10-05,ХК Сочи,Салават Юлаев,0:0,0:2,0:1,:,:
165,167,2021-10-06,Адмирал,Витязь,1:0,1:1,1:1,:,:
166,168,2021-10-06,Сибирь,Динамо Р,1:1,2:0,0:0,:,:
167,169,2021-10-06,Барыс,Авангард,0:0,0:0,1:0,:,:
168,170,2021-10-06,Автомобилист,Йокерит,3:0,0:1,2:0,:,:
169,171,2021-10-06,Динамо М,ЦСКА,0:0,0:1,0:2,:,:
170,172,2021-10-07,Амур,Трактор,0:1,0:0,0:1,:,:
171,173,2021-10-07,Ак Барс,Металлург Мг,1:0,0:2,0:1,:,:
172,174,2021-10-07,Нефтехимик,Динамо Мн,1:2,1:1,1:0,0:1,:
173,175,2021-10-07,Северсталь,Локомотив,1:2,0:2,0:1,:,:
174,176,2021-10-08,Сибирь,Витязь,0:1,0:0,2:0,:,:
175,177,2021-10-08,Барыс,СКА,2:0,0:0,1:0,:,:
176,178,2021-10-08,Салават Юлаев,Йокерит,2:0,0:1,0:1,1:0,:
177,179,2021-10-08,ХК Сочи,Динамо Р,2:1,0:0,0:1,1:0,:
178,180,2021-10-09,Амур,Трактор,1:3,0:1,3:1,:,:
179,181,2021-10-09,Авангард,Спартак,1:0,1:2,3:0,:,:
180,182,2021-10-09,Куньлунь РС,ЦСКА,1:1,0:0,1:0,:,:
181,183,2021-10-09,Нефтехимик,Автомобилист,1:0,0:2,1:1,:,:
182,184,2021-10-09,Торпедо,Динамо Мн,1:0,1:4,1:0,:,:
183,185,2021-10-09,Динамо М,Северсталь,2:1,1:1,0:0,:,:
184,186,2021-10-10,Барыс,Ак Барс,1:2,1:4,1:0,:,:
185,187,2021-10-10,Салават Юлаев,СКА,0:2,0:1,0:2,:,:
186,188,2021-10-11,Адмирал,Трактор,2:0,1:1,0:2,0:0,0:1
187,189,2021-10-11,Металлург Мг,ХК Сочи,1:0,1:0,1:1,:,:
188,190,2021-10-11,Авангард,Автомобилист,0:0,0:0,3:1,:,:
189,191,2021-10-11,Локомотив,Динамо М,1:0,1:0,1:1,:,:
190,192,2021-10-11,Торпедо,Северсталь,0:0,1:2,1:0,0:0,0:1
191,227,2021-10-11,ЦСКА,Спартак,1:0,0:0,0:0,:,:
192,194,2021-10-12,Адмирал,Трактор,0:1,2:1,0:2,:,:
193,195,2021-10-12,Салават Юлаев,Ак Барс,0:0,0:1,2:1,0:0,0:1
194,196,2021-10-12,Динамо Мн,Куньлунь РС,2:1,3:3,0:1,1:0,:
195,197,2021-10-12,Йокерит,Нефтехимик,0:2,1:2,2:2,:,:
196,198,2021-10-12,Динамо Р,Сибирь,1:0,0:1,3:0,:,:
197,199,2021-10-13,Автомобилист,ХК Сочи,2:1,0:1,2:2,0:0,0:1
198,200,2021-10-13,Авангард,Барыс,0:0,2:0,2:1,:,:
199,201,2021-10-13,Локомотив,Северсталь,0:0,1:1,0:0,1:0,:
200,202,2021-10-13,Витязь,Торпедо,0:0,1:1,0:2,:,:
201,203,2021-10-13,СКА,Динамо М,1:1,3:1,1:1,:,:
202,204,2021-10-13,ЦСКА,Амур,0:2,0:2,1:1,:,:
203,205,2021-10-14,Металлург Мг,Ак Барс,0:1,1:0,1:0,:,:
204,206,2021-10-14,Динамо Мн,Спартак,0:1,0:0,1:0,0:1,:
205,207,2021-10-14,Йокерит,Сибирь,1:1,1:2,2:0,:,:
206,208,2021-10-14,Динамо Р,Нефтехимик,2:1,1:1,1:1,:,:
207,209,2021-10-15,Автомобилист,Салават Юлаев,0:1,1:0,2:2,1:0,:
208,210,2021-10-15,Трактор,ХК Сочи,1:2,0:0,3:0,:,:
209,211,2021-10-15,Куньлунь РС,Барыс,0:0,0:1,1:0,0:0,0:1
210,212,2021-10-15,Торпедо,Амур,0:0,1:0,0:1,1:0,:
211,213,2021-10-15,ЦСКА,Адмирал,1:0,1:1,0:0,:,:
212,214,2021-10-15,Йокерит,СКА,1:1,2:2,1:1,1:0,:
213,215,2021-10-16,Авангард,Сибирь,0:1,3:2,1:0,:,:
214,216,2021-10-16,Северсталь,Нефтехимик,3:0,2:1,0:4,1:0,:
215,217,2021-10-16,Витязь,Динамо Р,1:2,2:1,0:0,0:1,:
216,218,2021-10-17,Металлург Мг,Салават Юлаев,1:3,1:2,0:0,:,:
217,219,2021-10-17,Трактор,Динамо М,1:1,2:0,2:2,:,:
218,220,2021-10-17,Ак Барс,Амур,1:0,1:1,0:1,1:0,:
219,221,2021-10-17,Локомотив,Куньлунь РС,3:0,0:1,1:2,:,:
220,222,2021-10-17,СКА,Барыс,0:1,3:2,0:0,0:0,0:1
221,223,2021-10-17,Динамо Мн,Адмирал,2:1,0:0,1:1,:,:
222,193,2021-10-18,Спартак,ЦСКА,1:0,0:0,2:3,1:0,:
223,224,2021-10-18,Торпедо,Автомобилист,1:1,1:1,2:1,:,:
224,225,2021-10-18,Витязь,Сибирь,3:0,2:1,0:1,:,:
225,226,2021-10-18,ХК Сочи,Авангард,1:2,0:1,3:2,:,:
226,228,2021-10-19,Трактор,Салават Юлаев,0:2,0:2,1:2,:,:
227,229,2021-10-19,Ак Барс,Динамо М,3:1,1:3,0:0,0:1,:
228,230,2021-10-19,Локомотив,Адмирал,0:1,1:1,0:1,:,:
229,231,2021-10-19,Нефтехимик,Амур,1:0,1:2,0:0,0:0,1:0
230,232,2021-10-19,Северсталь,Куньлунь РС,0:0,1:1,1:0,:,:
231,233,2021-10-19,СКА,Йокерит,0:0,0:0,2:0,:,:
232,234,2021-10-19,Динамо Мн,Барыс,2:2,1:2,3:1,:,:
233,235,2021-10-19,Динамо Р,Металлург Мг,1:2,1:2,2:0,0:0,0:1
234,236,2021-10-20,Торпедо,Авангард,0:0,0:1,0:0,:,:
235,237,2021-10-20,ХК Сочи,Автомобилист,3:2,2:3,1:1,0:1,:
236,238,2021-10-21,Амур,Адмирал,0:1,0:1,1:0,:,:
237,239,2021-10-21,Нефтехимик,Динамо М,0:1,0:1,0:1,:,:
238,240,2021-10-21,Витязь,Спартак,0:0,1:3,1:2,:,:
239,241,2021-10-21,СКА,Куньлунь РС,4:0,0:0,3:0,:,:
240,242,2021-10-21,ЦСКА,Салават Юлаев,1:1,0:1,1:1,:,:
241,243,2021-10-21,Йокерит,Металлург Мг,1:0,2:1,1:3,0:1,:
242,244,2021-10-22,Сибирь,Динамо Мн,3:2,0:0,0:0,:,:
243,245,2021-10-22,Барыс,Локомотив,0:1,0:1,1:2,:,:
244,246,2021-10-22,Трактор,Автомобилист,1:1,1:1,1:1,0:0,1:0
245,247,2021-10-22,Ак Барс,Авангард,1:1,2:1,0:0,:,:
246,248,2021-10-22,Северсталь,Динамо Р,0:0,1:0,1:0,:,:
247,249,2021-10-23,ХК Сочи,Металлург Мг,1:0,1:0,0:2,0:0,0:1
248,250,2021-10-24,Адмирал,ЦСКА,1:1,0:1,0:0,:,:
249,251,2021-10-24,Амур,Динамо Мн,1:0,1:0,1:0,:,:
250,252,2021-10-24,Сибирь,Трактор,0:0,1:0,1:0,:,:
251,253,2021-10-24,Барыс,Северсталь,0:1,0:1,1:3,:,:
252,254,2021-10-24,Салават Юлаев,Локомотив,0:1,0:1,3:1,0:0,1:0
253,255,2021-10-24,Торпедо,Нефтехимик,1:1,5:0,0:2,:,:
254,256,2021-10-24,Динамо М,Витязь,1:1,0:4,1:0,:,:
255,257,2021-10-24,Спартак,Куньлунь РС,1:0,2:1,1:1,:,:
256,258,2021-10-24,Йокерит,Динамо Р,3:0,4:0,1:0,:,:
257,259,2021-10-25,Авангард,СКА,1:0,0:3,0:2,:,:
258,260,2021-10-26,Адмирал,Динамо Мн,2:1,0:1,0:1,:,:
259,261,2021-10-26,Амур,ЦСКА,1:0,1:1,1:2,0:0,0:1
260,262,2021-10-26,Сибирь,Барыс,2:2,1:1,0:0,0:0,1:0
261,263,2021-10-26,Автомобилист,Ак Барс,2:2,0:0,0:1,:,:
262,264,2021-10-26,Металлург Мг,Трактор,1:1,1:1,1:0,:,:
263,265,2021-10-26,Салават Юлаев,Северсталь,0:0,2:2,0:1,:,:
264,266,2021-10-26,Куньлунь РС,Нефтехимик,1:2,1:1,0:1,:,:
265,267,2021-10-26,Витязь,ХК Сочи,0:1,1:0,0:2,:,:
266,268,2021-10-26,Динамо М,Локомотив,0:0,3:0,1:1,:,:
267,269,2021-10-26,Спартак,Торпедо,1:1,0:1,4:1,:,:
268,270,2021-10-27,Динамо Р,СКА,1:1,1:3,2:0,0:0,0:1
269,271,2021-10-28,Адмирал,Барыс,0:1,0:2,1:1,:,:
270,272,2021-10-28,Амур,Йокерит,0:0,1:0,0:1,0:0,1:0
271,273,2021-10-28,Сибирь,ЦСКА,0:0,0:0,1:0,:,:
272,274,2021-10-28,Автомобилист,Витязь,1:0,4:2,0:0,:,:
273,275,2021-10-28,Металлург Мг,Ак Барс,0:0,2:0,1:1,:,:
274,276,2021-10-28,Локомотив,Нефтехимик,1:0,0:0,0:1,0:1,:
275,277,2021-10-28,Северсталь,Торпедо,1:0,0:1,1:0,:,:
276,278,2021-10-28,Спартак,ХК Сочи,0:1,0:1,1:1,:,:
277,279,2021-10-29,Авангард,Салават Юлаев,1:1,1:0,0:0,:,:
278,280,2021-10-29,Динамо М,СКА,1:2,0:1,1:0,:,:
279,281,2021-10-30,Адмирал,Йокерит,1:1,0:1,0:2,:,:
280,282,2021-10-30,Амур,Барыс,0:0,0:1,0:0,:,:
281,283,2021-10-30,Автомобилист,Куньлунь РС,2:0,2:0,4:0,:,:
282,284,2021-10-30,Металлург Мг,Витязь,1:0,1:1,0:0,:,:
283,285,2021-10-30,Трактор,Ак Барс,2:0,1:0,2:0,:,:
284,286,2021-10-30,ХК Сочи,Торпедо,0:0,0:0,2:0,:,:
285,287,2021-10-31,Локомотив,Спартак,0:0,2:1,2:1,:,:
286,288,2021-10-31,Динамо Мн,Салават Юлаев,2:2,0:1,1:2,:,:
287,289,2021-10-31,Динамо Р,Динамо М,1:1,1:0,2:0,:,:
288,290,2021-11-01,Сибирь,Йокерит,0:0,0:0,0:2,:,:
289,291,2021-11-01,Трактор,Витязь,1:0,0:2,1:2,:,:
290,292,2021-11-01,Ак Барс,Авангард,1:0,0:0,1:1,:,:
291,293,2021-11-01,Нефтехимик,Куньлунь РС,1:1,2:1,0:3,:,:
292,294,2021-11-02,Северсталь,Спартак,0:0,1:0,1:2,0:0,1:0
293,295,2021-11-02,Торпедо,Локомотив,1:1,2:1,0:0,:,:
294,296,2021-11-02,СКА,Металлург Мг,0:0,1:1,1:1,0:0,0:1
295,297,2021-11-02,ЦСКА,Автомобилист,1:0,0:0,0:0,:,:
296,298,2021-11-02,Динамо Мн,Динамо М,1:4,0:3,2:0,:,:
297,299,2021-11-03,Барыс,Йокерит,0:2,0:1,1:1,:,:
298,300,2021-11-03,Салават Юлаев,Амур,0:0,3:2,0:0,:,:
299,301,2021-11-03,Трактор,Адмирал,2:0,2:0,2:1,:,:
300,303,2021-11-03,Нефтехимик,Авангард,0:0,0:0,1:1,1:0,:
301,304,2021-11-03,ХК Сочи,Куньлунь РС,0:1,1:1,0:1,:,:
302,302,2021-11-04,Ак Барс,Сибирь,0:0,0:1,0:1,:,:
303,305,2021-11-04,Локомотив,Металлург Мг,1:0,2:1,0:1,:,:
304,306,2021-11-04,Северсталь,Автомобилист,1:1,2:0,0:1,:,:
305,307,2021-11-04,Торпедо,Динамо Мн,1:0,1:0,2:0,:,:
306,308,2021-11-04,СКА,Спартак,1:0,0:0,0:1,0:1,:
307,309,2021-11-05,Барыс,Трактор,1:2,2:0,1:2,0:1,:
308,310,2021-11-05,Салават Юлаев,Авангард,0:1,2:1,0:2,:,:
309,312,2021-11-05,Нефтехимик,Адмирал,1:1,3:1,1:0,:,:
310,313,2021-11-05,Витязь,ЦСКА,1:0,2:4,2:1,0:0,0:1
311,314,2021-11-05,Динамо М,Амур,0:0,0:1,0:0,:,:
312,315,2021-11-05,Динамо Р,ХК Сочи,0:1,0:2,0:0,:,:
313,311,2021-11-06,Куньлунь РС,Сибирь,0:2,0:0,1:1,:,:
314,316,2021-11-06,Ак Барс,Автомобилист,1:1,1:1,3:2,:,:
315,317,2021-11-06,Северсталь,Металлург Мг,4:0,0:2,1:0,:,:
316,318,2021-11-06,Спартак,Динамо Мн,1:1,1:2,1:0,0:1,:
317,320,2021-11-07,Авангард,Динамо М,0:0,0:1,1:2,:,:
318,321,2021-11-07,Локомотив,Амур,1:0,2:1,0:2,0:0,0:1
319,322,2021-11-07,Торпедо,ХК Сочи,2:1,1:0,2:0,:,:
320,323,2021-11-07,Витязь,Адмирал,0:0,0:0,0:0,0:0,0:1
321,325,2021-11-07,ЦСКА,СКА,2:0,0:0,2:0,:,:
322,326,2021-11-07,Динамо Р,Йокерит,0:1,0:2,1:1,:,:
323,324,2021-11-08,Спартак,Сибирь,0:1,0:1,0:1,:,:
324,113,2021-11-13,Авангард,Куньлунь РС,0:0,2:0,3:0,:,:
325,327,2021-11-15,Сибирь,Нефтехимик,1:1,1:1,0:0,0:0,1:0
326,328,2021-11-15,Трактор,Металлург Мг,0:1,2:0,0:1,1:0,:
327,329,2021-11-15,Авангард,Витязь,1:0,1:0,1:0,:,:
328,330,2021-11-15,Куньлунь РС,Амур,0:1,2:3,2:0,0:1,:
329,331,2021-11-15,Динамо М,Йокерит,1:0,1:1,1:0,:,:
330,332,2021-11-15,ЦСКА,Северсталь,0:1,2:1,0:0,0:0,1:0
331,333,2021-11-15,Динамо Мн,Локомотив,2:2,1:3,0:2,:,:
332,334,2021-11-15,Динамо Р,Адмирал,1:1,1:0,1:1,:,:
333,335,2021-11-16,Торпедо,Салават Юлаев,0:1,0:0,0:1,:,:
334,336,2021-11-16,Спартак,Ак Барс,0:1,0:0,0:0,:,:
335,337,2021-11-16,ХК Сочи,Барыс,2:0,1:2,2:0,:,:
336,338,2021-11-17,Автомобилист,Нефтехимик,1:1,0:2,2:1,:,:
337,339,2021-11-17,Металлург Мг,Амур,0:2,3:0,2:0,:,:
338,340,2021-11-17,Трактор,Сибирь,1:0,1:2,0:0,0:0,1:0
339,341,2021-11-17,Куньлунь РС,Авангард,0:0,0:1,1:3,:,:
340,342,2021-11-17,СКА,Локомотив,0:1,0:1,1:1,:,:
341,343,2021-11-17,ЦСКА,Динамо М,1:0,0:1,1:1,0:0,0:1
342,344,2021-11-17,Динамо Мн,Северсталь,0:0,3:2,0:1,0:0,0:1
